,Unnamed: 0,id,name,url,length,description,directions,city,region,country,lat,lon,difficulty,features,rating,thumbnail
0,0.0,279180,Evans Creek ORV Area,https://www.singletracks.com/bike-trails/evans-creek-orv-area/,40.0,Evans Creek Trailhead provides access to 40 miles of combined four-wheel drive and motorcycle/quad trails of varying difficulty.,"The Evans Creek ORV Area is located 25 miles South of Enumclaw. To reach it, follow State highway 410 four miles west to Buckley. Turn left onto State Highway 165 toward Wilkeson and Carbonado. The entrance to the ORV area is on the left side of the road.",Wilkeson,Washington,United States,46.93738,-121.93714,,,0.0,
1,1.0,439619,Carbon River Road,https://www.singletracks.com/bike-trails/carbon-river-road/,5,"After 2006, the National Park Service closed the portion of the Carbon River Road within Mount Rainier National Park to motorize vehicles. Bicycles and hikers are still allowed to use it.",See map.,Carbonado,Washington,United States,46.99496,-121.9155,,,0.0,
2,2.0,439632,Carbon River Road,https://www.singletracks.com/bike-trails/carbon-river-road-2/,5,Carbon River Road is a 5 mile section of road that was closed the motorized vehicles in 2006. Bicycles and hikers are more than welcome to use it.,See map.,Carbonado,,,46.99496,-121.9155,,,0.0,
3,3.0,279179,Frog Mountain / Trail #1180,https://www.singletracks.com/bike-trails/frog-mountain-trail-1180/,3.0,"This moderate 3.1 mile hike, mountain bike, motor bike or horseback ride begins at Martin Gap at 4,200 foot elevation. Take off on the right side (north) of the road and climb up one mile to Frog Mountain at 5,236 feet. One of the best views of Mt. Rainier is on the climb up to the summit. From Frog Mountain the trail passes through clear-cuts and old-growth forest as youdescend to FS road 74. source: fs.usda.gov","Drive east on State Highway 410 from Enumclaw 21.8 miles to West Fork Road #74. Turn right (south) onto Road #74 and follow it 15.4 miles to the end of road. The trailhead is on the left at the entrance of the parking lot.<br />

There are 30 parking spaces at Martin Gap.",Enumclaw,Washington,United States,47.04518,-121.75497,,Drinking water,0.0,
4,4.0,287666,White River Tree Fram,https://www.singletracks.com/bike-trails/white-river-tree-fram/,12.0,"Great place lotts of trails things for beginners to Freeriders. witch out for motercycles lots of loging roads and single track. Have fun. 

LONG LIVE OFF ROAD","go to Enumclaw on Hwy 410 to Bonney Lake, Witch for 214th Ave. East turn right(Safeway on the right), go about 1.5 miles to turn right on 120th street east(fire station at the light you turn right at), go tell you get to 198th ave east. Turn left drive about .7 mile to the Hill side christmas tree farm. Park in the dirt parking lot on th right.",Bonney Lake,Washington,United States,47.13745,-122.16722,Beginner,,1.0,
5,5.0,272968,Bud Blancher trail,https://www.singletracks.com/?post_type=bike-trails&p=272968,1.5,Gravel surface.  Repurposed rail bed.,Access from Bud Blancher trailhead in Eatonville. Joins up with Charles Lathrop Pack Forest trail network.,Eatonville,Washington,United States,46.8641,-122.25785,,Fat biking allowed in winter,0.0,
6,6.0,272969,Bud Blancher trail,https://www.singletracks.com/bike-trails/bud-blancher-trail/,3.0,Gravel surface.  Repurposed rail bed.,Access from Bud Blancher trailhead in Eatonville.  Joins up with Charles Lathrop Pack Forest trail network.,Eatonville,Washington,United States,46.8641,-122.25785,,Fat biking allowed in winter,0.0,
7,7.0,286025,Victor Falls,https://www.singletracks.com/bike-trails/victor-falls/,8.0,"From the parking area, pedal away from 198th Avenue, up a dirt road known as the Main Access Road. At 0.2 miles, pass around a gate. Almost immediately, reach a 4-way and turn left onto a wide trail known as Elevator. Right away it narrows and ascends steeply. Stay on the main trail as you climb, ignoring two trails on the right. The trail crests and seems to end at a dirt road, 0.8 mile. Across the road on the right, though, the trail continues. From here, the trail, known as Route 66, winds then drops. Pass straight through a 4-way at 1.0 mile. At 1.2 miles, reach a T and turn left. At 1.4 miles, reach another T and turn right. Descend and then wind around a swale of low brush that contains the hulk of a white truck. Arrive at a T at 1.8 miles, and turn left. The trail ends at 198th Avenue at 1.9 miles - turn right and ride alongside the paved road. 



At 2.1 miles, find a singletrack that exits the road on the right and take it. The trail winds and twists. Ride straight through a 4-way at 2.4 miles. When the trail divides, 2.7 miles, stay to the right. Pedal straight through another 4-way at 2.9 miles. Reach a gravel road at 3.2 miles - hop on the slightly technical singletrack that continues on the opposite side. When the trail forks, bear right. Reach a T at a narrow road, 3.3 miles, and go right, descending. At 3.6 miles, reach a T and turn right. The narrow road forks at 3.7 miles - bear left. At 3.8 miles, immediately before reaching a T, turn right on a singletrack. Whoa - this is an easy turn to miss. 



The trail, narrow and winding, heads north and is at times brushy and overgrown, as blackberry vines lunge at unprotected skin and spiders, web and all, catch rides on the first bike through. After some good pedaling unmolested by a dividing trail, you\'ll reach a wide dirt road, 4.3 miles. The singletrack begins again on the opposite side of the road after a short jog to the right. At 4.4 miles, ride straight through a 4-way. Stay on the main trail, known as Mustang, as it sweeps back and forth, in and out of the trees, then finally out again. Ignore a trail back on the right at 5.5 miles. Just beyond, the trail splits again and this time bear right.



From here, still out in the open of a clearcut, the singletrack gradually widens. Reach a 4-way of dirt roads at 5.7 miles and proceed straight ahead. At 5.9 miles, arrive at a complicated 4-way intersection at a major gravel road - turn right onto the wide gravel road, ignoring the lesser cut-off road immediately prior on your right. Ride toward a conspicuous stand of trees about one quarter-mile ahead. When the road forks at 6.0 miles, bear right. Ignore a lesser road on the left at 6.1 miles. Bear left at the fork at 6.2 miles. Just when you\'ve had enough of the road riding, find a singletrack on the right, 6.4 miles, that enters that conspicuous stand of trees. This trail is called Cut Your Bars, although after years of use it\'s not quite that technical anymore. 



At 6.7 miles, the trail pops out at a 4-way (three roads, plus your trail). Turn right on the road. When the road forks at 6.9 miles, go left on a narrow dirt road. Ignore a tasty looking singletrack on the right at 7.0 miles. But at 7.1 miles, find another singletrack and turn right. This small area, often referred to as Snickers, bound by the narrow road behind and the Access Road ahead, contains a maze of fun, zippy trails - and a few tours through the maze are well worth your while. At 7.2 miles, reach a fork and bear left. At 7.3 miles, reach a fork and go right. Bear right again at the next fork, then drop down to reach Access Road at 7.5 miles, then turn left. When you arrive at the 4-way, 7.6 miles, you\'ve connected the loop. Go straight through the 4-way, around the gate, and glide back to the parking area at the Christmas tree farm, 7.8 miles. 



Directions: From Bellevue, take Interstate 405 south to Exit 2 in Tukwila. Then head south on Highway 167 toward Puyallup. Take the Highway 410 Exit toward Yakima, and drive east just over 5.5 miles to Bonney Lake. Turn right on South Prairie Road E., and set your odometer to zero. At 1.5 miles, turn right on 214th Avenue E. At 2.4 miles, turn right on 120th Street E. Reach a T at 3.2 miles, and turn left onto 198th Avenue E. At 3.7 miles, find Hillside Farms Christmas Trees on the right. Show some mountain bike courtesy: Don\'t litter or relieve yourself in the parking lot.



"," The huge parcel of land south of Highway 410, bounded by the Puyallup River to the west, the Carbon River to the south, and 198th Avenue E. to the east, commonly known as Victor Falls, is one of the premier mountain bike spots in the south Puget Sound region, and it's all private property.   

A phenomenal number of trails and dirt roads, ranging from easy to technical, crisscross the site, making for excellent exploring. If you want to get lost, this is the place to ride. This loop functions as an excellent introduction to Victor Falls. If you can find it, check out Jim Hendricks' map of the area, which remains remarkably accurate despite logging and some blocks of new houses. Of course more new houses are slated for this area, and logging (in advance of development) may obliterate or re-route even more trails. So be prepared for changes. It must be noted that for years our heroes at Hillside Farms Christmas Trees have allowed mountain bikers to park in the lot from January through the end of October. Don't trash the parking area! Please respect the closure dates so they can sell trees - and they'd sure like it if you bought your Christmas tree there. It should also be noted that the landowner tolerates non-motorized use; be a good citizen out on the trails so we can keep it that way. 

",Bonney Lake,Washington,United States,47.17688,-122.18616,Beginner,,2.5,https://images.singletracks.com/blog/wp-content/uploads/2015/09/image74520-orig-scaled.jpg
8,8.0,282632,Summit Ridge,https://www.singletracks.com/bike-trails/summit-ridge/,10.0,"Once parked, just go on the fireroad across the road and keep taking it back until you see a network of trails with a walk up.","Address of where to park to get to the trails:<br />

30700 3rd Ave. Black Diamond WA 98010",Black Diamond,Washington,United States,47.32591,-122.00833,Easiest,,3.0,https://images.singletracks.com/blog/wp-content/uploads/2015/09/image21327-orig-scaled.jpg
9,9.0,286026,Foothills Trail,https://www.singletracks.com/bike-trails/foothills-trail-orting/,13.0,"All paved trails. Very few small hills, not steep hills, easy to ride up the hills. Lots of natures, few restrooms, alots of resting spots with benches.","Directions: NW Newberry Hill Road, Silverdale - Main Entrance is at the SE corner of NW Newberry Hill Road and Tieton Place NW at the Klahowya Secondary School. The South Gate is located at the NE corner of Seabeck Hwy NW and NW Holly Road



NOTE: Please do not use Klahowya Secondary School parking lot during school hours.  This lot is available during non-school hours for visitors to Newberry Hill Heritage Park. Parking is available on the entrance road to Klahowya Secondary School.",Bremerton,Washington,United States,47.1848,-122.25051,Beginner,,2.0,https://images.singletracks.com/blog/wp-content/uploads/2014/05/mobile-1400194863-orig.jpg
